;cast;director;runtime;genres;production_companies;budget_adj;revenue_adj
46;Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones;Tim Johnson;94;Fantasy|Comedy|Animation|Science Fiction|Family;Twentieth Century Fox Film Corporation|DreamWorks Animation;124199945.4;339361177.1
47;Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams;Jake Schreier;109;Drama|Mystery|Romance;Fox 2000 Pictures;11039995.14;78671281.38
49;Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw;Yorgos Lanthimos;118;Thriller|Comedy|Drama|Romance|Science Fiction;Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film;3679998.381;8339346.451
50;Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy;Todd Haynes;118;Romance|Drama;Killer Films|Film4|Number 9 Films;10855995.22;37050347.9
51;Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner;Nancy Meyers;121;Comedy;Waverly Films|Warner Bros.;32199985.83;178999419.5
52;Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington;Baltasar KormÃ¡kur;121;Adventure|Drama;Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures;50599977.74;187153294.9
53;Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez;David O. Russell;124;Comedy|Drama;Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment;55199975.71;93043293.34
54;Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone;Ericson Core;114;Action|Crime|Thriller;Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions;96599957.5;123021160.0
55;Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman;John Wells;100;Drama;Double Feature Films|PeaPie Films|3 Arts Entertainment;18399991.9;33678188.74
56;Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery;Tarsem Singh;116;Science Fiction|Mystery|Thriller;Endgame Entertainment|Ram Bergman Productions;23919989.48;28081355.56
57;Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn;David Koepp;106;Comedy|Adventure;Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media;55199975.71;27985062.89
58;Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw;Tom Hooper;120;Drama;Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be;13799993.93;59056175.18
59;Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany;Michael Mann;133;Mystery|Crime|Action|Thriller|Drama;Universal Pictures|Forward Pass|Legendary Pictures;64399971.66;16332697.61
60;Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal;Denis Villeneuve;121;Action|Crime|Drama|Mystery|Thriller;Lionsgate|Thunder Road Pictures|Black Label Media;27599987.86;77303716.71
61;Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell;Josh Trank;100;Action|Adventure|Science Fiction;Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC);110399952.3;154539320.3
62;Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger;Robert Eggers;92;Mystery|Horror;Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films;3219998.583;37190013.04
63;Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale;Paul Feig;120;Action|Comedy|Crime;Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment;59799973.69;216812826.1
64;Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney;Glenn Ficarra|John Requa;105;Romance|Comedy|Crime|Drama;Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films;46091979.72;141645863.6
65;Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies;Aleksander Bach;96;Action|Crime|Thriller;Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment;32199985.83;75759810.19
66;Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw;Ron Howard;122;Thriller|Drama|Adventure|Action|History;Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media;91999959.52;86315059.38
68;Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd;Ryan Coogler;133;Drama;New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions;32199985.83;126900665.8
69;Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer;Judd Apatow;125;Comedy;Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions;32199985.83;129532072.6
70;Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi;Gavin Hood;102;Drama|Thriller|War;Entertainment One|Moonlighting Films|Raindog Films;11959994.74;30220316.9
71;Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton;Brian Helgeland;131;Crime|Thriller;Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE);22999989.88;39535137.08
73;Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried;Joe Wright;111;Adventure|Family|Fantasy;Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment;137999939.3;118117202.4
76;Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman;Steve Martino;88;Adventure|Animation|Comedy|Family;Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment;91079959.92;226534364.3
77;Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig;Peter Landesman;123;Drama;Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company;32199985.83;44733666.56
78;Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell;Jonathan Levine;100;Comedy;Sony Pictures|Point Grey Pictures|Good Universe;22999989.88;48204295.11
79;Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp;Eli Roth;99;Drama|Horror|Thriller;Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures;2299998.988;4796917.449
80;Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston;George Tillman, Jr.;128;Romance|Drama;Fox 2000 Pictures|Temple Hill Entertainment;31279986.24;57972193.01
81;Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi;Genndy Tartakovsky;89;Animation|Comedy|Family;Columbia Pictures|Sony Pictures Animation;73599967.62;428888671.8
82;Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde;Jessie Nelson;107;Family|Comedy;Imagine Entertainment|Groundswell Productions|CBS Films;15639993.12;22079990.28
83;Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale;Robert Zemeckis;123;Adventure|Drama|Thriller;TriStar Pictures|Sony Pictures Entertainment|ImageMovers;32199985.83;56287361.87
84;Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina;Daniel Benmayor;94;Action|Crime|Drama;Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films;10119995.55;1714249.046
85;Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth;John Francis Daley|Jonathan M. Goldstein;99;Adventure|Comedy;New Line Cinema|BenderSpink|David Dobkin Productions;28519987.45;96033410.71
86;Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements;Gil Kenan;93;Horror|Thriller;Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment;32199985.83;87802915.85
87;Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore;Henry Hobson;95;Horror;Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films;3679998.381;172142.9643
89;Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine;Daniel Espinosa;137;Crime|Thriller;Summit Entertainment|Scott Free Productions|Worldview Entertainment;45999979.76;3058382.254
90;Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp;Joel Edgerton;108;Thriller|Mystery;Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films;4599997.976;54260336.89
91;Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress;Sean Anders;96;Comedy;Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures;45999979.76;221131463.3
94;Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco;Mark Osborne;92;Adventure|Animation|Fantasy;Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films;58879974.09;89765510.5
96;Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus;Jocelyn Moorhouse;118;Drama;Amazon Studios|Film Art Media|Apollo Media;10975595.17;16872792.58
97;Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels;Ari Sandel;100;Romance|Comedy;Wonderland Sound and Vision|CBS Films|Vast Entertainment;7819996.559;40046325.66
98;Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann;Ciaran Foy;97;Horror;Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One;9199995.952;48651435.15
99;Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough;Andy Fickman;94;Action|Adventure|Comedy|Family;Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE);27599987.86;98989419.08
102;Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth;Rob Cohen;91;Thriller;Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment;3679998.381;46150034.45
104;Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon;Doug Ellin;104;Comedy;Warner Bros.|Closest to the Hole Productions;27599987.86;45322311.74
105;Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia;Jeremy Garelick;101;Comedy;Miramax Films|Screen Gems|LStar Capital;21159990.69;73415857.3
106;Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner;Christopher B. Landon;93;Comedy|Horror;Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment;13799993.93;13671898.7
107;Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan;M. Night Shyamalan;94;Horror|Thriller;Blumhouse Productions|Blinding Edge Pictures;4599997.976;90574017.19
108;Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon;Scott Cooper;122;Crime|Drama;Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment;48759978.55;91793583.37
109;Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano;Scott Mann;93;Crime|Action|Thriller;Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures;8187996.397;46125.0997
110;Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony;Michael Dougherty;98;Horror|Comedy|Fantasy;Universal Pictures|Legendary Pictures;13799993.93;56624785.53
111;Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan;Gilles Paquet-Brenner;113;Drama|Mystery|Thriller;Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films;18399991.9;191900.8756
112;Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett;John Erick Dowdle;103;Action|Thriller;Bold Films|Living Films|Brothers Dowdle Productions;4599997.976;50065340.21
113;Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman;Rick Famuyiwa;103;Crime|Drama|Comedy;Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment;643999.7166;16547831.24
114;Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins;Nima Nourizadeh;96;Comedy|Action;Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company;25759988.67;25951426.78
115;Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons;Simon Curtis;120;Drama;BBC Films|Origin Pictures;10119995.55;56690166.22
117;Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph;Jason Moore;118;Comedy;Little Stranger;27599987.86;96610126.25
118;Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista;Dean Israelite;106;Science Fiction|Thriller;Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures;11039995.14;29668368.67
120;Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviÄ‡;Camille Delamarre;96;Thriller|Action|Crime;EuropaCorp;22999989.88;66819267.0
121;Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver;Guillermo del Toro;119;Mystery|Thriller|Fantasy|Horror|Drama;Legendary Pictures;50599977.74;68705406.01
123;Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez;Gregory Jacobs;115;Comedy|Drama|Music;Warner Bros.|Iron Horse Entertainment (II);13615994.01;112619962.9
124;Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig;Gregory Plotkin;88;Horror|Thriller;Paramount Pictures|Blumhouse Productions;9199995.952;71851557.15
126;Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.;Jay Roach;124;Drama;Groundswell Productions|Inimitable Pictures|ShivHans Pictures;13799993.93;7576804.786
127;Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith;Billy Ray;111;Crime|Drama|Mystery;Ingenious Media|Gran Via Productions|IM Global|Route One Films;17939992.11;29614535.81
129;Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence;Paul Tibbitt;93;Family|Animation;Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment;68079970.04;286666383.3
131;Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali;Boaz Yakin;111;Adventure|Drama|Family;Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM);18399991.9;40449856.8
135;Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance;Pierre Morel;115;Action|Drama|Crime;StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA);36799983.81;9811564.763
136;Shelley Hennig|Moses Jacob Storm|Renee Olstead|William Peltz|Jacob Wysocki;Levan Gabriadze;82;Horror|Thriller;Bazelevs Production|Blumhouse Productions;919999.5952;57851497.35
137;Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones;Anne Fletcher;87;Action|Crime|Comedy;New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard;32199985.83;47545764.0
138;Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson;Leigh Whannell;97;Drama|Horror|Thriller;Sony Pictures;9199995.952;95959500.7
141;Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper;Nicholas Hytner;104;Comedy|Drama;BBC Films|TriStar Productions;5519997.571;38076655.29
142;James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance;Paul McGuigan;109;Drama|Science Fiction|Thriller;Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment;36799983.81;31489100.3
144;Jennifer Jason Leigh|David Thewlis|Tom Noonan;Duke Johnson|Charlie Kaufman;90;Animation|Comedy|Drama|Romance;Starburns Industries;7359996.762;3458541.598
150;Bel Powley|Kristen Wiig|Alexander SkarsgÃ¥rd|Christopher Meloni|Margarita Levieva;Marielle Heller;102;Drama|Romance;Caviar Films|Cold Iron Pictures|Archer Gray;1839999.19;1358841.242
155;Emma Stone|Joaquin Phoenix|Jamie Blackley|Parker Posey|Meredith Hagner;Woody Allen;95;Mystery|Drama;Sony Pictures|Gravier Productions;10119995.55;25199786.19
157;Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald;Jonathan Demme;100;Comedy|Drama|Music;Columbia TriStar|Clinica Estetico|LStar Capital;16559992.71;38019285.03
